"name_output","ind_output","referential_elements","W_elements","R2_elements"
"SN001_0028","8",1,0.450759968355935,0.554850429454673
"SN001_0028","8",1,0.258777733633967,0.861155160574067
"SN001_0028","8",1,0.193982024678455,0.917169394646354
"SN001_0028","8",1,0.735159188828736,0.130612461672724
"SN001_0028","8",1,0.239998694986675,0.904550014503428
"SN001_0028","8",1,0.300504566698636,0.847439221183496
"SN001_0028","8",1,0.676410642581923,0.346118102752293
"SN001_0028","8",1,0.970957310754896,0.0968909145294678
"SN001_0028","8",1,0.475286456707128,0.600146451429272
"SN001_0028","8",1,0.409435448978335,0.654444261404827
"SN001_0028","8",1,0.457501959921426,0.55007700330526
"SN001_0028","8",1,0.253296926646145,0.856106879890177
"SN001_0028","8",1,0.48720283744315,0.482426665138322
"SN001_0028","8",1,0.382252287842508,0.689388468178192
"SN001_0028","8",1,0.311943679119339,0.816783009922447
"SN001_0028","8",1,0.417807165805523,0.624826576719242
"SN001_0028","8",1,0.606251486064779,0.414522781578733
"SN001_0028","8",1,0.676133832042759,0.2195987436985
"SN001_0028","8",1,0.379124224682752,0.727832593408574
"SN001_0028","8",1,0.332570105091373,0.809776899732671
"SN001_0028","8",1,0.284457503654199,0.833671762814258
"SN001_0028","8",1,0.276257906407615,0.855471552621187
"SN001_0028","8",1,0.633613007292177,0.208496500334588
"SN001_0028","8",1,0.214339518106731,0.908642160393724
"SN001_0028","8",1,0.284203139443892,0.870903075461509
"SN001_0028","8",1,0.516220787890941,0.547312932510229
"SN001_0028","8",1,0.492725900266426,0.5416181775696
"SN001_0028","8",1,0.86318921878639,0.188227290836842
"SN001_0028","8",1,0.492422148056897,0.465588111767315
"SN001_0028","8",1,0.369602660576834,0.719153281036918
"SN001_0028","8",1,0.295735771620346,0.804289529736465
"SN001_0028","8",1,0.570802489108093,0.390343071089454
"SN001_0028","8",1,0.333981845093137,0.756440340964683
"SN001_0028","8",1,0.334788353533078,0.793876175780356
"SN001_0028","8",1,0.802590890491932,0.169768550486408
"SN001_0028","8",2,0.854133824555256,0.375087903447398
"SN001_0028","8",2,0.544561975759795,0.480300359473274
"SN001_0028","8",2,0.549942472228408,0.512743510537176
"SN001_0028","8",2,0.497916748838727,0.586585060349421
"SN001_0028","8",2,0.317279596253154,0.781135646155636
"SN001_0028","8",2,0.453079727091797,0.544274143671548
"SN001_0028","8",2,0.474470241967014,0.555022867961101
"SN001_0028","8",2,0.312682525188576,0.835234947123415
"SN001_0028","8",2,0.721347592339284,0.284124878155303
"SN001_0028","8",2,0.307260207225274,0.78740392060074
"SN001_0028","8",2,0.376459151816305,0.719720985821878
"SN001_0028","8",2,0.273699362435863,0.831026684101623
"SN001_0028","8",2,0.260390901924197,0.865067400378579
"SN001_0028","8",2,0.35113575666123,0.829765634558323
"SN001_0028","8",2,0.595878602716395,0.246028290043731
"SN001_0028","8",2,0.569484961158643,0.422438254045567
